"ensembl_gene_id","logFC_PFC_F_FENT","logFC_PFC_FENT","logFC_PFC_M_FENT","module.PFC","Motif","name","P.Value_PFC_F_FENT","P.Value_PFC_FENT","P.Value_PFC_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000032128","-0.00673698183351201","-0.0660035200732589","-0.125270058313006","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Robo3","0.98262985131443","0.742587956165931","0.625270234344743","Regulated","false","Robo3"
"ENSMUSG00000090071","-0.0382652436455757","-0.0803953965589814","-0.122525549472387","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Cdk5r2","0.752599103066911","0.309561251321468","0.22558164958884","Regulated","false","Cdk5r2"
"ENSMUSG00000020366","-0.0745820118732636","-0.0737062724022892","-0.0728305329313148","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Mapk9","0.346072383547103","0.153461706666325","0.267205893134912","Regulated","false","Mapk9"
"ENSMUSG00000051617","1.02144379034921","0.241054962399456","-0.539333865550294","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Krt9","0.0997357223066351","0.545575471838518","0.290620585012166","Regulated","false","Krt9"
"ENSMUSG00000020483","-0.0885291477591004","-0.110679168159937","-0.132829188560773","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Dynll2","0.274640222459764","0.037883873825355","0.0503120406368218","Regulated","false","Dynll2"
"ENSMUSG00000058297","-0.021543258235015","-0.0506427501103248","-0.0797422419856346","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Spock2","0.799610354310857","0.359552110514182","0.258934999179312","Regulated","false","Spock2"
"ENSMUSG00000047606","-0.0730061938891127","-0.115060649319346","-0.157115104749579","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Ankrd34c","0.641976610670477","0.261114211383665","0.229346626542606","Regulated","false","Ankrd34c"
"ENSMUSG00000037509","0.0201974796817401","-0.0215865622885363","-0.0633706042588127","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Arhgef4","0.810268260777474","0.692774156475326","0.364558263962258","Regulated","false","Arhgef4"
"ENSMUSG00000028926","-0.149903823959383","-0.0935852200484608","-0.037266616137539","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Cdk14","0.202385859356587","0.219985299218006","0.700152984759384","Regulated","false","Cdk14"
"ENSMUSG00000024777","0.0808786907472365","-0.0047630554441711","-0.0904048016355787","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Ppp2r5b","0.413205743528649","0.940660669015183","0.270466411399965","Regulated","false","Ppp2r5b"
"ENSMUSG00000025743","-0.0491482589811181","-0.0949232786248295","-0.140698298268541","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Sdc3","0.592443507351587","0.114621603937833","0.0677381293586471","Regulated","false","Sdc3"
"ENSMUSG00000025575","-0.0214918741990529","-0.099152110777208","-0.176812347355363","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Cant1","0.819303541861061","0.108243152680487","0.0262277147172679","Regulated","false","Cant1"
"ENSMUSG00000006575","-0.0225127282390476","-0.0708821902023722","-0.119251652165697","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Rundc3a","0.758514935205418","0.13943207493933","0.0528328431747615","Regulated","false","Rundc3a"
"ENSMUSG00000003813","-0.0493684257428715","-0.102940612059758","-0.156512798376645","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Rad23a","0.567876212900539","0.0700256969148846","0.0317722512182857","Regulated","false","Rad23a"
"ENSMUSG00000026077","-0.158302162430914","-0.322942998988485","-0.487583835546057","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Npas2","0.513185517963156","0.0430667823766687","0.0173809814394166","Regulated","false","Npas2"
"ENSMUSG00000040722","-0.0473994786495426","-0.0704782745468853","-0.0935570704442279","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Scamp5","0.505208845438187","0.129965844789036","0.115356405936633","Regulated","false","Scamp5"
"ENSMUSG00000045216","-0.0964483934629037","-0.125760345077823","-0.155072296692743","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Hs6st1","0.348196335816428","0.0623825607917391","0.071361853257956","Regulated","false","Hs6st1"
"ENSMUSG00000028838","-0.164470451155978","-0.20333672180286","-0.242202992449743","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Extl1","0.177986657169976","0.0118633180009089","0.018401569374851","Regulated","false","Extl1"
"ENSMUSG00000055447","-0.0753806868882201","-0.0698819360370773","-0.0643831851859344","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Cd47","0.449882599393226","0.281763710730923","0.435837306309383","Regulated","false","Cd47"
