"ensembl_gene_id","logFC_PFC_F_FENT","logFC_PFC_FENT","logFC_PFC_M_FENT","Motif","name","P.Value_PFC_F_FENT","P.Value_PFC_FENT","P.Value_PFC_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000020889","0.0334513556071192","0.0626129485360041","0.0917745414648889","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|yetfasco-2168","Nr1d1","0.816955885230079","0.505237553831575","0.444189549411583","Regulated","false","Nr1d1"
"ENSMUSG00000029088","0.117062721102068","0.0888917191265959","0.0607207171511241","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Kcnip4","0.394520181880042","0.319815359645535","0.593110446710694","Regulated","false","Kcnip4"
"ENSMUSG00000030351","0.170006874709292","0.320639533615766","0.471272192522241","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Tspan11","0.707348299071923","0.277515768394451","0.211584402685037","Regulated","false","Tspan11"
"ENSMUSG00000051910","0.282674428583604","0.156587875595202","0.0305013226068001","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460|yetfasco-2168","Sox6","0.0933497234571989","0.150876470314135","0.824912028463842","Regulated","false","Sox6"
"ENSMUSG00000021756","0.111810153884186","0.153134160609265","0.194458167334345","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Il6st","0.457155034814228","0.119641258747276","0.121278470397246","Regulated","false","Il6st"
"ENSMUSG00000029313","-0.0610384735781029","0.0574996735164612","0.176037820611025","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Aff1","0.725920215463363","0.611169013333929","0.224761921168689","Regulated","false","Aff1"
"ENSMUSG00000010307","-0.327435031429952","-0.0527484181970861","0.22193819503578","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497","Tmem86a","0.163613470415226","0.727569747869075","0.252913504868105","Regulated","false","Tmem86a"
"ENSMUSG00000024190","0.113338971437488","0.222600482544417","0.331861993651346","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Dusp1","0.628285885867006","0.14619182225375","0.0904771948625394","Regulated","false","Dusp1"
"ENSMUSG00000041559","1.13178452442737","0.966329767354353","0.800875010281339","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Fmod","0.164448972732959","0.0690855412818254","0.233799208246444","Regulated","false","Fmod"
"ENSMUSG00000029651","0.145839484540653","0.111524401654206","0.0772093187677596","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Mtus2","0.269495608088857","0.194228823667255","0.478876365252553","Regulated","false","Mtus2"
