"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000060402","-0.200124433","-0.254549604","-0.308974776","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Chst8","0.256377054","0.043632359","0.081957671","Regulated","false","Chst8"
"ENSMUSG00000027985","-0.311367602","-0.61080006","-0.910232517","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Lef1","0.450118255","0.039154693","0.030065294","Regulated","false","Lef1"
"ENSMUSG00000008658","-0.097579904","-0.093161257","-0.08874261","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Rbfox1","0.416612283","0.27383721","0.459845641","Regulated","false","Rbfox1"
"ENSMUSG00000027840","-0.491425418","-0.523489139","-0.55555286","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Wnt2b","0.110673531","0.017707772","0.072169014","Regulated","false","Wnt2b"
"ENSMUSG00000053004","-0.12531607","-0.138598171","-0.151880272","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Hrh1","0.43658309","0.225365145","0.346312682","Regulated","false","Hrh1"
"ENSMUSG00000005672","-0.261517342","-0.334214062","-0.406910783","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Kit","0.197233062","0.021736034","0.04692921","Regulated","false","Kit"
"ENSMUSG00000025372","-0.034762868","-0.069342007","-0.103921146","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Baiap2","0.845338303","0.582546703","0.560293673","Regulated","false","Baiap2"
"ENSMUSG00000024232","-0.191420177","-0.124863031","-0.058305886","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Bambi","0.432632126","0.468971898","0.810655428","Regulated","false","Bambi"
"ENSMUSG00000052372","-0.256225261","-0.318711986","-0.38119871","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Il1rapl1","0.136412781","0.010139568","0.028424478","Regulated","false","Il1rapl1"
"ENSMUSG00000031283","-0.892221156","-0.726421373","-0.56062159","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Chrdl1","0.013675073","0.004855784","0.115634316","Regulated","false","Chrdl1"
