"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000038402","0.017202584","-0.071022966","-0.159248516","yetfasco-655","Foxf2","0.928982564","0.603201392","0.410666896","Regulated","false","Foxf2"
"ENSMUSG00000028707","0.558360654","0.223619181","-0.111122291","yetfasco-655","Dmbx1","0.11094078","0.363142218","0.748571325","Regulated","false","Dmbx1"
"ENSMUSG00000045983","-0.226769608","-0.050329675","0.126110259","yetfasco-655","Eif4g1","0.092245544","0.593197409","0.345129604","Regulated","false","Eif4g1"
"ENSMUSG00000058975","0.249686853","0.101178207","-0.047330439","yetfasco-655","Kcnc1","0.08634014","0.321664014","0.742131594","Regulated","false","Kcnc1"
"ENSMUSG00000018849","0.004673502","-0.067888895","-0.140451291","yetfasco-655","Wwc1","0.966139761","0.384686488","0.205116797","Regulated","false","Wwc1"
"ENSMUSG00000019960","-0.111555209","-0.266802943","-0.422050677","yetfasco-655","Dusp6","0.537013073","0.039954606","0.022148784","Regulated","false","Dusp6"
"ENSMUSG00000038733","-0.04796172","-0.053356271","-0.058750822","yetfasco-655","Wdr26","0.403953277","0.191075886","0.30733628","Regulated","false","Wdr26"
"ENSMUSG00000054520","0.050447785","0.102845481","0.155243178","yetfasco-655","Sh3bp2","0.833922603","0.546050787","0.519434654","Regulated","false","Sh3bp2"
"ENSMUSG00000024182","0.085453163","-0.150011509","-0.38547618","yetfasco-655","Axin1","0.442649949","0.059808762","9.2572E-4","Regulated","false","Axin1"
"ENSMUSG00000028341","0.468231454","0.281573656","0.094915858","yetfasco-655","Nr4a3","0.081047977","0.136500363","0.720296844","Regulated","false","Nr4a3"
"ENSMUSG00000010517","-0.085209862","0.064683797","0.214577457","yetfasco-655","Faf1","0.350674059","0.316651446","0.021106061","Regulated","false","Faf1"
"ENSMUSG00000027765","0.191325613","0.252120371","0.312915129","yetfasco-655","P2ry1","0.253015879","0.035542278","0.063932757","Regulated","false","P2ry1"
"ENSMUSG00000033863","0.073709438","-0.22997352","-0.533656477","yetfasco-655","Klf9","0.585517069","0.018616505","1.96103E-4","Regulated","false","Klf9"
"ENSMUSG00000059246","-1.048743069","-1.070990459","-1.093237849","yetfasco-655","Foxb1","0.090198744","0.015685855","0.077662468","Regulated","false","Foxb1"
"ENSMUSG00000054256","0.011903709","-0.024159176","-0.060222061","yetfasco-655","Msi1","0.903442963","0.727811127","0.540008558","Regulated","false","Msi1"
"ENSMUSG00000034384","-0.825136156","-1.151846519","-1.478556882","yetfasco-655","Barhl2","0.174953847","0.008770304","0.016815066","Regulated","false","Barhl2"
"ENSMUSG00000014030","0.527694756","0.62040088","0.713107003","yetfasco-655","Pax5","0.316925392","0.098570194","0.177732172","Regulated","false","Pax5"
"ENSMUSG00000038855","-0.091436678","-0.033976634","0.02348341","yetfasco-655","Itpkb","0.534397248","0.743755249","0.873029166","Regulated","false","Itpkb"
"ENSMUSG00000020390","-0.098741105","0.01531658","0.129374264","yetfasco-655","Ube2b","0.312749416","0.824034577","0.187298721","Regulated","false","Ube2b"
"ENSMUSG00000048878","0.088429619","0.08168292","0.074936222","yetfasco-655","Hexim1","0.343352359","0.217004015","0.421494528","Regulated","false","Hexim1"
"ENSMUSG00000029249","-0.152111146","-0.007402248","0.13730665","yetfasco-655","Rest","0.276446282","0.939996259","0.325450374","Regulated","false","Rest"
"ENSMUSG00000026826","-0.611834653","-0.089498438","0.432837777","yetfasco-655","Nr4a2","0.125063823","0.74870207","0.275495586","Regulated","false","Nr4a2"
"ENSMUSG00000031673","-0.144236496","-0.147515785","-0.150795073","yetfasco-655","Cdh11","0.182101323","0.055559186","0.163311438","Regulated","false","Cdh11"
"ENSMUSG00000002409","0.014585044","-0.089141288","-0.19286762","yetfasco-655","Dyrk1b","0.897301879","0.26704763","0.091712968","Regulated","false","Dyrk1b"
"ENSMUSG00000027868","-0.127093104","-0.440143144","-0.753193184","yetfasco-655","Tbx15","0.842515725","0.332372081","0.241679032","Regulated","false","Tbx15"
